trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-08-07,"TPB,VDS,ANV,FCN,HT1",5,0.02032392888625716,0.03201019373692506,0.4271940290927887,0.004,0.01632392888625716,0.020323928886257114,0.01632392888625711,0.03201019373692504
2025-08-08,"HT1,HAG,NAF,TDC,BMS",5,-0.007519069725580451,0.005504136352929742,0.415271520614624,0.004,-0.011519069725580451,0.012652042122283103,0.004616822685640454,0.03769051856086647
2025-08-11,"GEE,BMS,TPB,VDS,VOS",5,0.018483186299218458,0.012059482819049233,0.39158207178115845,0.004,0.014483186299218458,0.03136907847311332,0.01916687528792549,0.050204529540941456
2025-08-12,"NAG,VOS,HT1,HAG,BMS",5,0.03110264810029022,0.01594562511031275,0.39350634813308716,0.004,0.02710264810029022,0.06344738798238314,0.04678899646432666,0.06695069725815372
2025-08-13,"EVG,HDG,NLG,TPB,FCN",5,-0.0056262335554611905,-0.0029544550431565924,0.41284671425819397,0.004,-0.00962623355546119,0.05746418460364899,0.03671236110107423,0.06379843938983987
2025-08-14,"MBB,EVG,HDG,CRE,HDB",5,-0.012635809938363485,-0.012188848053356415,0.4211118817329407,0.004,-0.016635809938363486,0.04410226815037088,0.019465811301044855,0.05083196185271954
2025-08-15,"TPB,MML,DSC,MSB,HT1",5,0.035611668744942634,-0.017496026291153592,0.3822210431098938,0.004,0.03161166874494263,0.081284492259585,0.05169282682468768,0.03244657822055985
2025-08-18,"TCI,HDG,PC1,HT1,EVG",5,-0.08307790779335573,-0.04648358917494748,0.4030051827430725,0.004,-0.08707790779335574,-0.008546361086742338,-0.039886384176486156,-0.015545244366524935
2025-08-19,"VDS,DSC,CTX,SAM,EVG",5,-0.047095119231311246,-0.031022252561171533,0.45252782106399536,0.004,-0.05109511923131124,-0.05523898842367958,-0.08894350385259397,-0.04608524843083295
2025-08-20,"L14,FCN,HDG,SAM,MBB",5,-0.05379409432334799,-0.020628051268635067,0.383559912443161,0.004,-0.05779409432334799,-0.10606155139343787,-0.14159718892483608,-0.06576265083210908
2025-08-21,"TPB,MSB,SSB,TCI,MBB",5,-0.009870853435758619,-0.00946811577567248,0.41194701194763184,0.004,-0.013870853435758619,-0.1148854868002227,-0.15350396850610293,-0.07460811821598812
2025-08-22,"NVL,MBB,VDS,VOS,LDP",5,0.04220050191338043,0.019213919679570958,0.39675459265708923,0.004,0.038200501913380425,-0.07753321009237468,-0.12116739523535136,-0.056827712927263185
2025-08-25,"VOS,HAG,NAG,LDP,ACB",5,0.014935836770018706,0.05042827803964182,0.41115865111351013,0.004,0.010935836770018706,-0.06375539669255126,-0.11155662532147481,-0.009265158595474277
2025-08-26,"MSB,TCI,CRE,NAF,VOS",5,0.04865005652721242,0.024322250659360417,0.38061684370040894,0.004,0.04465005652721242,-0.01820704381834637,-0.07188757842085136,0.014831742554128224
2025-08-27,"CSM,TPB,MSB,DSC,TCI",5,0.04436394697599468,0.012306554266785055,0.38959401845932007,0.004,0.040363946975994686,0.025349166831101666,-0.034425297848468595,0.02732082446552675
