time,open,high,low,close,volume,symbol,target_date
2026-07-27 07:00:00,11.35,11.35,11.35,11.35,100,ABR,2026-07-27
2026-07-27 07:00:00,50.6,50.6,50.0,50.0,3900,ABT,2026-07-27
2026-07-27 07:00:00,22.5,22.6,22.3,22.3,18914800,ACB,2026-07-27
2026-07-27 07:00:00,4.85,4.85,4.85,4.85,69400,ACC,2026-07-27
2026-07-27 07:00:00,12.8,12.9,12.4,12.9,3600,ACL,2026-07-27
2026-07-27 07:00:00,38.7,39.5,38.0,38.4,402600,ACV,2026-07-27
2026-07-27 07:00:00,10.0,10.0,9.95,10.0,57700,AFX,2026-07-27
2026-07-27 07:00:00,10.9,10.9,10.9,10.9,100,AG1,2026-07-27
2026-07-27 07:00:00,10.6,11.0,10.55,11.0,343800,AGG,2026-07-27
2026-07-27 07:00:00,33.0,33.4,32.0,32.0,6000,AGP,2026-07-27
2026-07-27 07:00:00,6.5,6.6,6.3,6.6,1000,ALV,2026-07-27
2026-07-27 07:00:00,24.4,25.5,23.9,24.9,3400,ANT,2026-07-27
2026-07-27 07:00:00,17.0,17.1,16.15,16.15,621200,ANV,2026-07-27
2026-07-27 07:00:00,46.7,47.6,46.7,47.0,38100,APF,2026-07-27
2026-07-27 07:00:00,4.77,4.77,4.51,4.62,120800,APG,2026-07-27
2026-07-27 07:00:00,4.4,4.4,4.3,4.3,800,APP,2026-07-27
2026-07-27 07:00:00,5.62,5.69,5.62,5.62,466500,ASM,2026-07-27
2026-07-27 07:00:00,8.0,8.0,7.7,7.9,2500,AVG,2026-07-27
2026-07-27 07:00:00,10.7,10.7,10.5,10.5,12400,BAB,2026-07-27
2026-07-27 07:00:00,28.9,28.9,28.45,28.85,2784200,BAF,2026-07-27
2026-07-27 07:00:00,18.0,20.0,18.0,20.0,1700,BCA,2026-07-27
2026-07-27 07:00:00,37.7,38.0,35.1,35.1,934600,BCM,2026-07-27
2026-07-27 07:00:00,21.5,21.5,21.5,21.5,200,BHA,2026-07-27
2026-07-27 07:00:00,29.0,29.45,28.65,28.7,2500,BHN,2026-07-27
2026-07-27 07:00:00,20.0,20.0,20.0,20.0,100,BLT,2026-07-27
2026-07-27 07:00:00,13.4,13.4,13.0,13.2,153600,BMS,2026-07-27
2026-07-27 07:00:00,18.0,20.2,18.0,20.2,500,BNW,2026-07-27
2026-07-27 07:00:00,7.79,8.0,7.78,7.78,10800,BTP,2026-07-27
2026-07-27 07:00:00,4.9,4.9,4.8,4.8,2300,BTS,2026-07-27
2026-07-27 07:00:00,26.3,26.7,24.2,24.3,1374000,BVS,2026-07-27
2026-07-27 07:00:00,14.0,14.0,14.0,14.0,100,CCR,2026-07-27
2026-07-27 07:00:00,25.6,25.6,24.8,24.8,16900,CDN,2026-07-27
2026-07-27 07:00:00,11.7,11.7,11.7,11.7,300,CDP,2026-07-27
2026-07-27 07:00:00,27.3,27.5,26.1,26.5,293600,CLI,2026-07-27
2026-07-27 07:00:00,69.0,69.0,69.0,69.0,600,CLM,2026-07-27
2026-07-27 07:00:00,13.0,13.2,12.9,12.9,48300,CLX,2026-07-27
2026-07-27 07:00:00,18.4,18.4,18.4,18.4,100,CMM,2026-07-27
2026-07-27 07:00:00,29.9,29.9,29.7,29.8,30200,CQN,2026-07-27
2026-07-27 07:00:00,6.6,6.6,6.45,6.5,116300,CRE,2026-07-27
2026-07-27 07:00:00,10.3,10.5,10.0,10.0,10400,CSC,2026-07-27
2026-07-27 07:00:00,14.15,14.35,14.1,14.3,399200,CSM,2026-07-27
2026-07-27 07:00:00,10.0,10.0,9.8,10.0,1700,CST,2026-07-27
2026-07-27 07:00:00,21.4,21.75,20.0,20.0,546300,CSV,2026-07-27
2026-07-27 07:00:00,16.5,17.2,16.5,17.0,6500,CTB,2026-07-27
2026-07-27 07:00:00,29.3,29.6,28.75,28.75,6451500,CTG,2026-07-27
2026-07-27 07:00:00,18.3,18.45,18.0,18.2,272500,CTI,2026-07-27
2026-07-27 07:00:00,6.9,7.2,6.8,6.9,16200,CTP,2026-07-27
2026-07-27 07:00:00,68.6,69.8,68.0,68.0,89800,CTR,2026-07-27
2026-07-27 07:00:00,4.8,4.8,4.6,4.7,4300,CTX,2026-07-27
2026-07-27 07:00:00,26.85,26.85,26.85,26.85,800,CVT,2026-07-27
2026-07-27 07:00:00,25.8,26.4,25.8,26.05,18400,D2D,2026-07-27
2026-07-27 07:00:00,11.1,11.1,11.0,11.0,200,DAS,2026-07-27
2026-07-27 07:00:00,7.97,7.97,7.97,7.97,1100,DAT,2026-07-27
2026-07-27 07:00:00,16.0,16.15,15.7,15.7,1549500,DBC,2026-07-27
2026-07-27 07:00:00,48.2,49.5,48.2,48.95,4000,DBD,2026-07-27
2026-07-27 07:00:00,5.5,5.5,5.2,5.5,4300,DC1,2026-07-27
2026-07-27 07:00:00,38.0,38.1,38.0,38.05,454800,DCL,2026-07-27
2026-07-27 07:00:00,36.85,36.85,35.9,36.0,820700,DGC,2026-07-27
2026-07-27 07:00:00,33.45,34.05,33.0,33.15,722300,DGW,2026-07-27
2026-07-27 07:00:00,47.5,49.5,47.25,47.35,4200,DHA,2026-07-27
2026-07-27 07:00:00,13.8,14.9,13.6,14.5,418000,DHB,2026-07-27
2026-07-27 07:00:00,27.6,27.6,27.6,27.6,2000,DHD,2026-07-27
2026-07-27 07:00:00,6.36,6.75,6.3,6.5,21800,DHM,2026-07-27
2026-07-27 07:00:00,7.3,7.3,7.3,7.3,1400,DIH,2026-07-27
2026-07-27 07:00:00,2.22,2.23,2.12,2.12,585700,DLG,2026-07-27
2026-07-27 07:00:00,8.6,8.6,8.6,8.6,100,DPC,2026-07-27
2026-07-27 07:00:00,35.75,35.9,35.2,35.3,167300,DPR,2026-07-27
2026-07-27 07:00:00,1.51,1.54,1.43,1.43,110300,DRH,2026-07-27
2026-07-27 07:00:00,12.7,13.0,12.5,12.8,477300,DRI,2026-07-27
2026-07-27 07:00:00,10.45,10.45,10.0,10.35,50000,DSC,2026-07-27
2026-07-27 07:00:00,8.4,8.4,7.5,7.5,172700,DST,2026-07-27
2026-07-27 07:00:00,1.9,1.9,1.8,1.8,700,DTI,2026-07-27
2026-07-27 07:00:00,10.05,10.2,10.05,10.05,800,DTL,2026-07-27
2026-07-27 07:00:00,19.0,19.0,18.5,18.9,14700,DVN,2026-07-27
2026-07-27 07:00:00,3.0,3.9,3.0,3.9,200,E12,2026-07-27
2026-07-27 07:00:00,9.7,9.7,9.7,9.7,100,EBS,2026-07-27
2026-07-27 07:00:00,1.8,1.8,1.7,1.7,2500,EIN,2026-07-27
2026-07-27 07:00:00,14.3,14.45,13.75,14.3,316500,ELC,2026-07-27
2026-07-27 07:00:00,4.59,4.63,4.27,4.29,816200,EVG,2026-07-27
2026-07-27 07:00:00,5.7,6.0,5.6,5.6,520300,EVS,2026-07-27
2026-07-27 07:00:00,3.08,3.18,3.06,3.14,16800,FCM,2026-07-27
2026-07-27 07:00:00,10.75,10.75,10.25,10.4,486900,FCN,2026-07-27
2026-07-27 07:00:00,20.85,22.85,20.85,22.85,600,FDC,2026-07-27
2026-07-27 07:00:00,108.1,109.5,106.9,107.8,372900,FRT,2026-07-27
2026-07-27 07:00:00,12.2,12.3,11.9,12.0,19700,GDA,2026-07-27
2026-07-27 07:00:00,68.0,68.2,63.2,63.5,1381000,GEE,2026-07-27
2026-07-27 07:00:00,24.65,24.65,24.4,24.4,3200,GHC,2026-07-27
2026-07-27 07:00:00,5.0,5.0,4.6,4.6,200,GMC,2026-07-27
2026-07-27 07:00:00,6.46,6.99,6.46,6.9,2700,GMH,2026-07-27
2026-07-27 07:00:00,1.7,2.0,1.7,2.0,32900,GPC,2026-07-27
2026-07-27 07:00:00,25.0,25.1,25.0,25.0,3600,GSM,2026-07-27
2026-07-27 07:00:00,10.5,10.6,10.5,10.5,59300,GSP,2026-07-27
2026-07-27 07:00:00,9.9,9.9,9.9,9.9,200,HAC,2026-07-27
2026-07-27 07:00:00,14.0,14.05,13.65,13.7,2217100,HAG,2026-07-27
