time,open,high,low,close,volume,symbol,target_date
2026-08-03 07:00:00,11.0,11.0,11.0,11.0,300,ABR,2026-08-03
2026-08-03 07:00:00,50.5,50.5,50.0,50.5,12200,ABT,2026-08-03
2026-08-03 07:00:00,22.0,22.55,21.95,22.55,9511900,ACB,2026-08-03
2026-08-03 07:00:00,4.19,4.39,4.19,4.19,3488000,ACC,2026-08-03
2026-08-03 07:00:00,11.9,12.4,11.9,12.35,1000,ACL,2026-08-03
2026-08-03 07:00:00,39.2,40.2,39.2,40.0,742200,ACV,2026-08-03
2026-08-03 07:00:00,10.35,11.0,10.3,10.75,439800,AFX,2026-08-03
2026-08-03 07:00:00,10.9,10.9,10.9,10.9,300,AG1,2026-08-03
2026-08-03 07:00:00,11.45,11.55,11.25,11.55,348200,AGG,2026-08-03
2026-08-03 07:00:00,31.5,32.5,31.5,32.0,1000,AGP,2026-08-03
2026-08-03 07:00:00,132.0,132.0,132.0,132.0,200,AGX,2026-08-03
2026-08-03 07:00:00,6.5,6.8,6.5,6.8,2900,ALV,2026-08-03
2026-08-03 07:00:00,21.25,21.25,21.25,21.25,24000,ANT,2026-08-03
2026-08-03 07:00:00,17.2,17.4,17.0,17.35,532300,ANV,2026-08-03
2026-08-03 07:00:00,46.1,46.2,45.9,45.9,25800,APF,2026-08-03
2026-08-03 07:00:00,4.58,4.72,4.58,4.69,164300,APG,2026-08-03
2026-08-03 07:00:00,5.88,5.98,5.88,5.97,251600,ASM,2026-08-03
2026-08-03 07:00:00,41.7,41.7,41.0,41.1,1700,AVC,2026-08-03
2026-08-03 07:00:00,8.0,8.2,8.0,8.2,26900,AVG,2026-08-03
2026-08-03 07:00:00,10.5,10.8,10.5,10.7,7100,BAB,2026-08-03
2026-08-03 07:00:00,29.65,30.6,29.65,30.55,3451800,BAF,2026-08-03
2026-08-03 07:00:00,12.7,12.7,12.7,12.7,3000,BBS,2026-08-03
2026-08-03 07:00:00,19.8,19.8,19.8,19.8,300,BCA,2026-08-03
2026-08-03 07:00:00,35.6,37.5,35.6,36.9,763100,BCM,2026-08-03
2026-08-03 07:00:00,31.45,31.45,29.6,29.9,1300,BHN,2026-08-03
2026-08-03 07:00:00,6.9,6.9,6.9,6.9,100,BHP,2026-08-03
2026-08-03 07:00:00,8.0,8.0,8.0,8.0,100,BLI,2026-08-03
2026-08-03 07:00:00,18.4,18.4,18.4,18.4,600,BLT,2026-08-03
2026-08-03 07:00:00,12.5,12.5,12.5,12.5,1000,BMJ,2026-08-03
2026-08-03 07:00:00,13.3,13.4,13.2,13.4,66200,BMS,2026-08-03
2026-08-03 07:00:00,10.1,10.1,10.1,10.1,200,BT1,2026-08-03
2026-08-03 07:00:00,2.9,2.9,2.9,2.9,100,BTN,2026-08-03
2026-08-03 07:00:00,7.58,7.58,7.49,7.5,118900,BTP,2026-08-03
2026-08-03 07:00:00,4.9,5.0,4.8,5.0,18900,BTS,2026-08-03
2026-08-03 07:00:00,25.5,26.7,25.4,26.4,785200,BVS,2026-08-03
2026-08-03 07:00:00,9.5,9.5,9.5,9.5,100,BWA,2026-08-03
2026-08-03 07:00:00,15.55,16.5,15.55,16.5,15400,CCI,2026-08-03
2026-08-03 07:00:00,14.3,14.3,14.3,14.3,100,CCR,2026-08-03
2026-08-03 07:00:00,25.1,25.1,24.0,25.1,5200,CDN,2026-08-03
2026-08-03 07:00:00,11.9,11.9,11.9,11.9,100,CDP,2026-08-03
2026-08-03 07:00:00,9.8,9.8,9.6,9.6,8300,CIA,2026-08-03
2026-08-03 07:00:00,8.3,8.3,8.3,8.3,100,CID,2026-08-03
2026-08-03 07:00:00,28.2,29.0,28.0,28.9,426000,CLI,2026-08-03
2026-08-03 07:00:00,75.2,75.3,73.0,73.2,1700,CLM,2026-08-03
2026-08-03 07:00:00,13.3,13.3,13.2,13.3,8700,CLX,2026-08-03
2026-08-03 07:00:00,19.9,19.9,18.8,19.5,29300,CMN,2026-08-03
2026-08-03 07:00:00,29.6,29.7,29.5,29.7,32000,CQN,2026-08-03
2026-08-03 07:00:00,6.74,7.3,6.74,7.28,220900,CRE,2026-08-03
2026-08-03 07:00:00,26.55,26.7,26.55,26.7,2800,CRV,2026-08-03
2026-08-03 07:00:00,10.3,10.5,10.3,10.5,10900,CSC,2026-08-03
2026-08-03 07:00:00,14.5,14.65,14.5,14.5,192300,CSM,2026-08-03
2026-08-03 07:00:00,10.2,10.2,10.0,10.2,15400,CST,2026-08-03
2026-08-03 07:00:00,21.4,22.25,21.35,21.7,362700,CSV,2026-08-03
2026-08-03 07:00:00,17.8,17.8,17.8,17.8,600,CTB,2026-08-03
2026-08-03 07:00:00,31.2,32.0,31.05,31.8,11302600,CTG,2026-08-03
2026-08-03 07:00:00,19.1,19.3,18.9,19.0,189100,CTI,2026-08-03
2026-08-03 07:00:00,6.9,6.9,6.1,6.3,80900,CTP,2026-08-03
2026-08-03 07:00:00,71.9,74.5,71.6,74.3,455100,CTR,2026-08-03
2026-08-03 07:00:00,4.9,5.4,4.9,5.4,15800,CTX,2026-08-03
2026-08-03 07:00:00,27.5,27.5,27.05,27.3,16700,D2D,2026-08-03
2026-08-03 07:00:00,16.0,16.7,15.95,16.55,2373700,DBC,2026-08-03
2026-08-03 07:00:00,49.0,49.9,48.9,49.45,17200,DBD,2026-08-03
2026-08-03 07:00:00,5.9,5.9,5.9,5.9,100,DC1,2026-08-03
2026-08-03 07:00:00,38.4,39.5,38.25,39.2,1016800,DCL,2026-08-03
2026-08-03 07:00:00,39.2,39.9,39.2,39.4,593500,DGC,2026-08-03
2026-08-03 07:00:00,36.9,37.8,36.85,37.05,1457100,DGW,2026-08-03
2026-08-03 07:00:00,48.3,49.0,46.55,47.65,69600,DHA,2026-08-03
2026-08-03 07:00:00,13.4,13.4,12.2,12.9,200200,DHB,2026-08-03
2026-08-03 07:00:00,26.8,26.8,26.7,26.7,2100,DHD,2026-08-03
