time,open,high,low,close,volume,symbol,target_date
2026-07-29 07:00:00,11.0,11.0,11.0,11.0,300,ABR,2026-07-29
2026-07-29 07:00:00,50.9,50.9,49.7,50.2,15200,ABT,2026-07-29
2026-07-29 07:00:00,22.35,22.55,22.1,22.3,11700900,ACB,2026-07-29
2026-07-29 07:00:00,4.21,4.83,4.21,4.83,6169600,ACC,2026-07-29
2026-07-29 07:00:00,12.1,12.85,12.1,12.85,1400,ACL,2026-07-29
2026-07-29 07:00:00,38.8,39.0,38.3,38.7,290600,ACV,2026-07-29
2026-07-29 07:00:00,16.5,16.5,16.5,16.5,200,ADC,2026-07-29
2026-07-29 07:00:00,9.98,10.0,9.95,10.0,91500,AFX,2026-07-29
2026-07-29 07:00:00,10.9,11.0,10.9,11.0,10400,AG1,2026-07-29
2026-07-29 07:00:00,11.1,11.35,11.0,11.2,400000,AGG,2026-07-29
2026-07-29 07:00:00,32.5,32.5,32.2,32.2,400,AGP,2026-07-29
2026-07-29 07:00:00,152.88,152.88,141.42,141.42,200,AGX,2026-07-29
2026-07-29 07:00:00,6.5,6.7,6.4,6.7,4900,ALV,2026-07-29
2026-07-29 07:00:00,23.55,24.8,23.55,24.7,1900,ANT,2026-07-29
2026-07-29 07:00:00,16.85,17.05,16.8,16.95,396900,ANV,2026-07-29
2026-07-29 07:00:00,46.8,47.0,46.0,46.8,44700,APF,2026-07-29
2026-07-29 07:00:00,4.64,4.68,4.57,4.57,156900,APG,2026-07-29
2026-07-29 07:00:00,4.1,4.2,4.1,4.2,400,APP,2026-07-29
2026-07-29 07:00:00,5.77,5.8,5.7,5.8,229100,ASM,2026-07-29
2026-07-29 07:00:00,7.8,7.9,7.6,7.8,10300,AVG,2026-07-29
2026-07-29 07:00:00,10.3,10.5,10.3,10.5,2600,BAB,2026-07-29
2026-07-29 07:00:00,28.75,29.35,28.65,29.35,774100,BAF,2026-07-29
2026-07-29 07:00:00,8.6,8.6,8.5,8.5,3600,BBH,2026-07-29
2026-07-29 07:00:00,18.4,20.1,18.4,19.9,8000,BCA,2026-07-29
2026-07-29 07:00:00,35.75,36.1,34.5,35.0,773700,BCM,2026-07-29
2026-07-29 07:00:00,29.05,29.65,29.05,29.6,3700,BHN,2026-07-29
2026-07-29 07:00:00,19.0,19.0,19.0,19.0,200,BLT,2026-07-29
2026-07-29 07:00:00,9.9,11.5,9.9,11.5,2500,BMJ,2026-07-29
2026-07-29 07:00:00,13.2,13.2,13.0,13.1,103000,BMS,2026-07-29
2026-07-29 07:00:00,22.1,22.1,22.1,22.1,200,BNW,2026-07-29
2026-07-29 07:00:00,7.73,7.8,7.5,7.7,85400,BTP,2026-07-29
2026-07-29 07:00:00,4.8,4.9,4.8,4.9,4400,BTS,2026-07-29
2026-07-29 07:00:00,25.5,26.0,25.0,25.2,870800,BVS,2026-07-29
2026-07-29 07:00:00,25.2,25.2,25.0,25.0,1700,CDN,2026-07-29
2026-07-29 07:00:00,9.4,9.4,9.2,9.4,8600,CIA,2026-07-29
2026-07-29 07:00:00,26.1,26.6,26.1,26.5,419700,CLI,2026-07-29
2026-07-29 07:00:00,68.0,68.5,68.0,68.5,700,CLM,2026-07-29
2026-07-29 07:00:00,13.0,13.1,12.9,13.0,15700,CLX,2026-07-29
2026-07-29 07:00:00,21.0,21.1,21.0,21.0,5600,CMN,2026-07-29
2026-07-29 07:00:00,29.7,29.7,29.5,29.6,19700,CQN,2026-07-29
2026-07-29 07:00:00,6.9,7.14,6.74,7.14,150300,CRE,2026-07-29
2026-07-29 07:00:00,10.1,10.1,10.0,10.1,27300,CSC,2026-07-29
2026-07-29 07:00:00,14.4,14.95,14.3,14.9,1048300,CSM,2026-07-29
2026-07-29 07:00:00,10.0,10.0,9.8,10.0,2900,CST,2026-07-29
2026-07-29 07:00:00,21.0,21.1,20.35,20.35,209300,CSV,2026-07-29
2026-07-29 07:00:00,17.2,17.2,17.2,17.2,200,CTB,2026-07-29
2026-07-29 07:00:00,29.25,29.5,29.1,29.35,9178500,CTG,2026-07-29
2026-07-29 07:00:00,18.45,19.25,18.25,19.25,243900,CTI,2026-07-29
2026-07-29 07:00:00,7.0,7.2,6.7,6.9,26100,CTP,2026-07-29
2026-07-29 07:00:00,68.8,69.0,67.2,69.0,404200,CTR,2026-07-29
2026-07-29 07:00:00,4.9,4.9,4.9,4.9,1300,CTX,2026-07-29
2026-07-29 07:00:00,9.5,9.5,9.5,9.5,18900,CX8,2026-07-29
2026-07-29 07:00:00,26.25,26.45,26.0,26.2,15400,D2D,2026-07-29
2026-07-29 07:00:00,11.2,11.2,11.2,11.2,100,DAS,2026-07-29
2026-07-29 07:00:00,16.15,16.35,16.0,16.15,1407700,DBC,2026-07-29
2026-07-29 07:00:00,48.8,48.9,48.2,48.9,3100,DBD,2026-07-29
2026-07-29 07:00:00,5.0,5.9,5.0,5.9,200,DC1,2026-07-29
2026-07-29 07:00:00,37.9,38.05,37.9,38.05,307500,DCL,2026-07-29
2026-07-29 07:00:00,36.95,37.85,36.95,37.85,653400,DGC,2026-07-29
