time,open,high,low,close,volume,symbol,target_date
2026-07-06 07:00:00,54.3,54.3,52.0,52.0,10600,ABT,2026-07-06
2026-07-06 07:00:00,22.65,22.7,22.05,22.2,12785000,ACB,2026-07-06
2026-07-06 07:00:00,10.95,11.1,10.55,11.1,8700,ACC,2026-07-06
2026-07-06 07:00:00,12.3,13.2,12.05,13.2,2000,ACL,2026-07-06
2026-07-06 07:00:00,43.5,43.8,43.0,43.2,799200,ACV,2026-07-06
2026-07-06 07:00:00,10.15,10.15,9.99,10.15,89000,AFX,2026-07-06
2026-07-06 07:00:00,11.65,11.7,11.5,11.65,403100,AGG,2026-07-06
2026-07-06 07:00:00,33.8,33.9,33.6,33.6,1300,AGP,2026-07-06
2026-07-06 07:00:00,154.0,154.0,133.0,149.0,1000,AGX,2026-07-06
2026-07-06 07:00:00,7.1,7.1,7.0,7.0,2100,ALV,2026-07-06
2026-07-06 07:00:00,26.9,26.9,25.55,26.3,500,ANT,2026-07-06
2026-07-06 07:00:00,21.05,21.1,20.3,20.4,832700,ANV,2026-07-06
2026-07-06 07:00:00,48.5,48.6,48.0,48.1,11400,APF,2026-07-06
2026-07-06 07:00:00,5.26,5.26,5.05,5.13,539100,APG,2026-07-06
2026-07-06 07:00:00,4.1,4.3,4.1,4.1,2800,APP,2026-07-06
2026-07-06 07:00:00,6.01,6.05,5.96,5.96,407500,ASM,2026-07-06
2026-07-06 07:00:00,42.2,42.2,42.2,42.2,200,AVC,2026-07-06
2026-07-06 07:00:00,8.9,9.0,8.9,8.9,17800,AVG,2026-07-06
2026-07-06 07:00:00,11.5,11.7,11.5,11.6,14800,BAB,2026-07-06
2026-07-06 07:00:00,30.0,30.0,29.75,29.85,695000,BAF,2026-07-06
2026-07-06 07:00:00,6.4,8.0,6.4,8.0,4100,BBH,2026-07-06
2026-07-06 07:00:00,12.8,12.8,12.8,12.8,500,BBS,2026-07-06
2026-07-06 07:00:00,20.5,20.5,18.6,18.6,3300,BCA,2026-07-06
2026-07-06 07:00:00,51.2,51.5,49.85,50.3,468200,BCM,2026-07-06
2026-07-06 07:00:00,27.0,27.0,27.0,27.0,100,BDW,2026-07-06
2026-07-06 07:00:00,22.1,22.1,22.1,22.1,600,BHA,2026-07-06
2026-07-06 07:00:00,29.15,29.6,29.0,29.0,800,BHN,2026-07-06
2026-07-06 07:00:00,10.2,11.0,10.0,11.0,10500,BMJ,2026-07-06
2026-07-06 07:00:00,14.0,14.1,13.9,14.0,165900,BMS,2026-07-06
2026-07-06 07:00:00,3.0,3.0,3.0,3.0,1500,BMV,2026-07-06
2026-07-06 07:00:00,18.6,20.8,18.6,20.8,2600,BNW,2026-07-06
2026-07-06 07:00:00,11.6,11.6,11.6,11.6,100,BT1,2026-07-06
2026-07-06 07:00:00,8.28,8.3,8.26,8.26,9000,BTP,2026-07-06
2026-07-06 07:00:00,4.9,5.0,4.9,5.0,5100,BTS,2026-07-06
2026-07-06 07:00:00,14.0,14.2,14.0,14.2,500,BVL,2026-07-06
2026-07-06 07:00:00,31.9,33.0,31.0,32.5,2237200,BVS,2026-07-06
2026-07-06 07:00:00,11.0,11.0,11.0,11.0,200,BWA,2026-07-06
2026-07-06 07:00:00,27.1,27.3,26.7,27.3,10200,CDN,2026-07-06
2026-07-06 07:00:00,12.3,12.3,12.3,12.3,200,CDP,2026-07-06
2026-07-06 07:00:00,9.6,9.6,9.6,9.6,4000,CIA,2026-07-06
