time,open,high,low,close,volume,symbol,target_date
2026-06-05 07:00:00,12.9,12.9,12.9,12.9,100,ABR,2026-06-05
2026-06-05 07:00:00,55.5,55.6,55.5,55.5,700,ABT,2026-06-05
2026-06-05 07:00:00,26.2,26.3,25.85,26.15,27586000,ACB,2026-06-05
2026-06-05 07:00:00,0.6,0.6,0.5,0.5,169100,ACM,2026-06-05
2026-06-05 07:00:00,44.1,44.4,43.6,44.0,397900,ACV,2026-06-05
2026-06-05 07:00:00,10.3,10.4,10.1,10.4,70400,AFX,2026-06-05
2026-06-05 07:00:00,10.4,10.5,10.4,10.4,7900,AG1,2026-06-05
2026-06-05 07:00:00,11.8,11.85,11.65,11.85,200000,AGG,2026-06-05
2026-06-05 07:00:00,34.5,34.6,34.0,34.2,2700,AGP,2026-06-05
2026-06-05 07:00:00,215.0,215.0,209.0,209.0,2500,AGX,2026-06-05
2026-06-05 07:00:00,7.0,7.1,6.9,7.0,13300,ALV,2026-06-05
2026-06-05 07:00:00,26.0,26.0,25.2,25.2,8100,ANT,2026-06-05
2026-06-05 07:00:00,21.4,21.4,20.95,21.0,322700,ANV,2026-06-05
2026-06-05 07:00:00,44.0,44.0,43.0,43.4,13400,APF,2026-06-05
2026-06-05 07:00:00,4.46,4.49,4.38,4.39,243700,APG,2026-06-05
2026-06-05 07:00:00,4.1,4.2,4.1,4.1,1200,APP,2026-06-05
2026-06-05 07:00:00,5.95,5.99,5.84,5.87,702000,ASM,2026-06-05
2026-06-05 07:00:00,9.3,9.3,9.1,9.2,10900,AVG,2026-06-05
2026-06-05 07:00:00,11.2,11.2,11.2,11.2,2800,BAB,2026-06-05
2026-06-05 07:00:00,34.55,34.6,34.35,34.55,1298300,BAF,2026-06-05
2026-06-05 07:00:00,12.0,12.0,12.0,12.0,100,BBS,2026-06-05
2026-06-05 07:00:00,20.8,20.8,18.9,18.9,1200,BCA,2026-06-05
2026-06-05 07:00:00,55.0,55.3,54.1,54.1,229700,BCM,2026-06-05
2026-06-05 07:00:00,22.1,22.1,22.0,22.0,200,BHA,2026-06-05
2026-06-05 07:00:00,29.95,29.95,29.85,29.85,2100,BHN,2026-06-05
2026-06-05 07:00:00,7.0,7.0,7.0,7.0,800,BHP,2026-06-05
2026-06-05 07:00:00,8.4,8.6,8.2,8.5,11700,BLI,2026-06-05
2026-06-05 07:00:00,22.7,22.7,22.7,22.7,100,BLT,2026-06-05
2026-06-05 07:00:00,11.1,11.1,11.1,11.1,200,BMG,2026-06-05
2026-06-05 07:00:00,10.8,10.8,10.0,10.5,700,BMJ,2026-06-05
2026-06-05 07:00:00,14.4,14.5,14.2,14.4,109000,BMS,2026-06-05
2026-06-05 07:00:00,15.7,15.7,15.7,15.7,300,BNW,2026-06-05
2026-06-05 07:00:00,12.0,12.0,12.0,12.0,200,BT1,2026-06-05
2026-06-05 07:00:00,2.6,2.6,2.5,2.5,6000,BTN,2026-06-05
2026-06-05 07:00:00,8.31,8.38,8.31,8.32,19900,BTP,2026-06-05
2026-06-05 07:00:00,16.5,16.5,16.5,16.5,700,BTU,2026-06-05
2026-06-05 07:00:00,13.0,14.3,13.0,13.0,500,BVL,2026-06-05
2026-06-05 07:00:00,25.8,25.8,25.3,25.6,177100,BVS,2026-06-05
2026-06-05 07:00:00,19.4,19.4,19.4,19.4,100,C21,2026-06-05
2026-06-05 07:00:00,19.9,19.9,19.9,19.9,300,CCI,2026-06-05
2026-06-05 07:00:00,29.0,29.0,28.9,29.0,400,CDN,2026-06-05
2026-06-05 07:00:00,1.5,1.5,1.3,1.4,111200,CDO,2026-06-05
