time,open,high,low,close,volume,symbol,target_date
2026-07-16 07:00:00,11.6,11.6,11.4,11.4,200,ABR,2026-07-16
2026-07-16 07:00:00,51.2,51.2,50.0,50.0,12200,ABT,2026-07-16
2026-07-16 07:00:00,22.95,23.75,22.95,23.75,45574000,ACB,2026-07-16
2026-07-16 07:00:00,8.03,8.03,8.03,8.03,3900,ACC,2026-07-16
2026-07-16 07:00:00,12.05,12.6,12.05,12.6,2400,ACL,2026-07-16
2026-07-16 07:00:00,42.4,42.5,41.0,41.6,821300,ACV,2026-07-16
2026-07-16 07:00:00,10.1,10.1,10.0,10.1,78200,AFX,2026-07-16
2026-07-16 07:00:00,10.9,10.9,10.9,10.9,4900,AG1,2026-07-16
2026-07-16 07:00:00,11.4,11.45,11.25,11.45,127500,AGG,2026-07-16
2026-07-16 07:00:00,34.0,34.2,33.5,33.5,1100,AGP,2026-07-16
2026-07-16 07:00:00,145.0,145.0,145.0,145.0,100,AGX,2026-07-16
2026-07-16 07:00:00,6.8,6.8,6.8,6.8,200,ALV,2026-07-16
2026-07-16 07:00:00,25.35,25.85,24.65,25.1,7300,ANT,2026-07-16
2026-07-16 07:00:00,18.35,18.7,17.8,18.35,860700,ANV,2026-07-16
2026-07-16 07:00:00,46.8,47.0,46.4,47.0,31800,APF,2026-07-16
2026-07-16 07:00:00,4.89,4.98,4.7,4.98,421800,APG,2026-07-16
2026-07-16 07:00:00,4.1,4.1,4.1,4.1,500,APP,2026-07-16
2026-07-16 07:00:00,6.06,6.19,5.9,6.15,673600,ASM,2026-07-16
2026-07-16 07:00:00,42.0,42.0,42.0,42.0,300,AVC,2026-07-16
2026-07-16 07:00:00,8.4,8.4,8.1,8.4,18400,AVG,2026-07-16
2026-07-16 07:00:00,11.1,11.2,11.0,11.2,12200,BAB,2026-07-16
2026-07-16 07:00:00,29.6,29.65,29.4,29.65,684400,BAF,2026-07-16
2026-07-16 07:00:00,8.0,8.0,8.0,8.0,200,BBH,2026-07-16
2026-07-16 07:00:00,21.0,21.0,21.0,21.0,300,BCA,2026-07-16
2026-07-16 07:00:00,45.15,45.4,43.25,44.1,499400,BCM,2026-07-16
2026-07-16 07:00:00,23.3,23.3,23.3,23.3,2100,BDW,2026-07-16
2026-07-16 07:00:00,22.9,22.9,22.9,22.9,100,BHA,2026-07-16
2026-07-16 07:00:00,7.5,8.0,7.5,8.0,8300,BLI,2026-07-16
2026-07-16 07:00:00,9.8,10.4,9.7,10.4,1600,BMJ,2026-07-16
2026-07-16 07:00:00,14.1,14.1,13.5,13.9,272900,BMS,2026-07-16
2026-07-16 07:00:00,29.0,31.0,29.0,30.0,10000,BNW,2026-07-16
2026-07-16 07:00:00,8.18,8.18,7.8,7.95,37500,BTP,2026-07-16
2026-07-16 07:00:00,4.9,4.9,4.9,4.9,900,BTS,2026-07-16
2026-07-16 07:00:00,12.7,15.1,12.7,15.1,200,BTU,2026-07-16
2026-07-16 07:00:00,33.7,33.9,31.1,33.4,2265400,BVS,2026-07-16
2026-07-16 07:00:00,18.0,18.0,18.0,18.0,200,CCI,2026-07-16
2026-07-16 07:00:00,14.0,14.0,13.8,14.0,3600,CCR,2026-07-16
2026-07-16 07:00:00,25.9,26.2,25.5,25.5,6600,CDN,2026-07-16
2026-07-16 07:00:00,11.8,11.8,11.7,11.8,1500,CDP,2026-07-16
2026-07-16 07:00:00,9.0,9.5,8.9,9.5,11200,CIA,2026-07-16
2026-07-16 07:00:00,8.0,8.3,7.1,7.1,4400,CID,2026-07-16
2026-07-16 07:00:00,22.5,22.5,22.5,22.5,100,CKD,2026-07-16
2026-07-16 07:00:00,25.9,26.4,25.7,26.4,69800,CLI,2026-07-16
2026-07-16 07:00:00,13.7,13.7,13.6,13.6,34100,CLX,2026-07-16
2026-07-16 07:00:00,15.6,15.6,15.6,15.6,100,CMM,2026-07-16
2026-07-16 07:00:00,22.0,22.4,22.0,22.3,1400,CMN,2026-07-16
2026-07-16 07:00:00,30.4,30.4,29.5,30.4,37000,CQN,2026-07-16
2026-07-16 07:00:00,6.72,6.91,6.7,6.89,58100,CRE,2026-07-16
2026-07-16 07:00:00,11.1,11.5,11.0,11.4,14500,CSC,2026-07-16
2026-07-16 07:00:00,13.6,14.2,13.6,14.15,347500,CSM,2026-07-16
2026-07-16 07:00:00,10.2,10.2,10.0,10.2,10000,CST,2026-07-16
2026-07-16 07:00:00,22.9,24.8,22.9,24.8,1417900,CSV,2026-07-16
2026-07-16 07:00:00,32.1,32.35,31.45,32.3,10470800,CTG,2026-07-16
2026-07-16 07:00:00,19.0,19.3,18.9,19.3,299500,CTI,2026-07-16
2026-07-16 07:00:00,7.3,7.8,6.6,7.5,144700,CTP,2026-07-16
2026-07-16 07:00:00,68.3,70.0,67.2,70.0,390400,CTR,2026-07-16
2026-07-16 07:00:00,5.2,5.2,5.1,5.1,11800,CTX,2026-07-16
2026-07-16 07:00:00,29.6,29.65,29.15,29.45,19700,D2D,2026-07-16
2026-07-16 07:00:00,17.2,17.85,17.1,17.75,3137100,DBC,2026-07-16
2026-07-16 07:00:00,51.0,51.0,49.8,49.8,16900,DBD,2026-07-16
2026-07-16 07:00:00,5.4,6.1,5.4,6.1,300,DC1,2026-07-16
2026-07-16 07:00:00,38.1,38.4,38.0,38.4,489100,DCL,2026-07-16
2026-07-16 07:00:00,44.85,44.95,44.0,44.8,584500,DGC,2026-07-16
2026-07-16 07:00:00,37.8,38.0,35.3,38.0,1272300,DGW,2026-07-16
2026-07-16 07:00:00,47.3,47.35,46.5,47.35,18500,DHA,2026-07-16
2026-07-16 07:00:00,10.4,10.4,10.4,10.4,300,DHB,2026-07-16
2026-07-16 07:00:00,28.0,28.0,27.5,28.0,2700,DHD,2026-07-16
2026-07-16 07:00:00,6.4,6.84,6.25,6.84,249100,DHM,2026-07-16
2026-07-16 07:00:00,7.0,7.3,7.0,7.3,1100,DIH,2026-07-16
2026-07-16 07:00:00,2.51,2.53,2.43,2.48,1206800,DLG,2026-07-16
2026-07-16 07:00:00,7.4,7.4,7.1,7.1,4000,DPC,2026-07-16
2026-07-16 07:00:00,37.4,37.8,36.8,37.8,243800,DPR,2026-07-16
2026-07-16 07:00:00,1.78,1.78,1.7,1.72,184900,DRH,2026-07-16
2026-07-16 07:00:00,13.1,13.4,12.9,13.3,316100,DRI,2026-07-16
2026-07-16 07:00:00,11.85,11.9,11.25,11.9,30400,DSC,2026-07-16
2026-07-16 07:00:00,10.8,11.2,9.8,10.4,192600,DST,2026-07-16
2026-07-16 07:00:00,10.0,10.0,10.0,10.0,600,DTL,2026-07-16
2026-07-16 07:00:00,19.7,19.7,19.4,19.6,9100,DVN,2026-07-16
2026-07-16 07:00:00,14.2,14.2,14.2,14.2,600,DWS,2026-07-16
2026-07-16 07:00:00,3.55,3.67,3.55,3.67,600,DXV,2026-07-16
2026-07-16 07:00:00,1.9,1.9,1.9,1.9,300,EIN,2026-07-16
2026-07-16 07:00:00,16.05,16.15,15.5,16.0,239700,ELC,2026-07-16
2026-07-16 07:00:00,4.99,5.0,4.81,5.0,322300,EVG,2026-07-16
2026-07-16 07:00:00,5.4,5.9,5.3,5.9,540500,EVS,2026-07-16
2026-07-16 07:00:00,3.25,3.32,3.2,3.31,100200,FCM,2026-07-16
2026-07-16 07:00:00,11.2,11.25,10.9,11.25,368200,FCN,2026-07-16
2026-07-16 07:00:00,111.4,112.4,108.5,111.4,222700,FRT,2026-07-16
2026-07-16 07:00:00,13.0,13.0,12.8,13.0,41200,GDA,2026-07-16
2026-07-16 07:00:00,80.3,83.3,75.5,82.1,2074300,GEE,2026-07-16
2026-07-16 07:00:00,25.4,25.4,24.3,24.6,13300,GHC,2026-07-16
2026-07-16 07:00:00,4.4,4.4,4.0,4.0,6800,GMC,2026-07-16
2026-07-16 07:00:00,6.82,7.26,6.82,7.26,700,GMH,2026-07-16
2026-07-16 07:00:00,1.9,1.9,1.9,1.9,4000,GPC,2026-07-16
2026-07-16 07:00:00,30.0,30.0,29.8,29.9,5400,GSM,2026-07-16
2026-07-16 07:00:00,10.95,11.0,10.65,11.0,46400,GSP,2026-07-16
2026-07-16 07:00:00,14.45,14.6,14.2,14.6,2396700,HAG,2026-07-16
2026-07-16 07:00:00,45.0,45.0,45.0,45.0,800,HAM,2026-07-16
2026-07-16 07:00:00,7.23,7.23,7.0,7.23,58700,HAP,2026-07-16
2026-07-16 07:00:00,9.39,9.39,8.29,8.29,7100,HAS,2026-07-16
2026-07-16 07:00:00,6.0,6.0,6.0,6.0,100,HBH,2026-07-16
2026-07-16 07:00:00,6.6,6.6,6.18,6.6,35800,HCD,2026-07-16
2026-07-16 07:00:00,26.3,27.15,26.05,27.15,13607200,HDB,2026-07-16
2026-07-16 07:00:00,18.9,19.0,17.75,18.3,2465900,HDG,2026-07-16
