class,precision,recall,f1-score,support
SELL,0.4389261744966443,0.37931208392172683,0.4069474880285691,19828.0
HOLD,0.6165366077576314,0.7797532656023222,0.6886054857728787,41340.0
BUY,0.4182024383328608,0.23497238742565846,0.30088736273076533,18832.0
accuracy,0.5522625,0.5522625,0.5522625,0.5522625
macro avg,0.4912217401957122,0.4646792456499025,0.46548011217740437,80000.0
weighted avg,0.5258279983913048,0.5522625,0.5275277048678381,80000.0
