time,symbol,volume
2023-04-03 07:00:00,ABR,7555400.0
2023-08-25 07:00:00,ABR,474300.0
2024-10-18 07:00:00,ABR,591600.0
2017-06-26 07:00:00,ABT,493920.0
2024-08-16 07:00:00,ABT,440200.0
2025-02-10 07:00:00,ABT,442500.0
2015-10-06 07:00:00,ACB,895315.0
2015-10-08 07:00:00,ACB,541780.0
2015-10-09 07:00:00,ACB,557772.0
2015-10-12 07:00:00,ACB,479803.0
2015-10-16 07:00:00,ACB,431631.0
2016-01-20 07:00:00,ACB,17190008.0
2016-02-24 07:00:00,ACB,613706.0
2016-03-01 07:00:00,ACB,5901462.0
2016-03-08 07:00:00,ACB,9097088.0
2016-05-12 07:00:00,ACB,569423.0
2016-05-18 07:00:00,ACB,520514.0
2016-06-10 07:00:00,ACB,7988435.0
2016-06-29 07:00:00,ACB,3677632.0
2016-07-13 07:00:00,ACB,437147.0
2016-07-14 07:00:00,ACB,855293.0
2016-07-19 07:00:00,ACB,465733.0
2016-08-01 07:00:00,ACB,1523184.0
2016-09-12 07:00:00,ACB,6315386.0
2016-09-28 07:00:00,ACB,960835.0
2016-10-03 07:00:00,ACB,584999.0
2016-10-04 07:00:00,ACB,728172.0
2016-10-05 07:00:00,ACB,650032.0
2016-10-06 07:00:00,ACB,445683.0
2016-10-07 07:00:00,ACB,474856.0
2016-10-10 07:00:00,ACB,595489.0
2016-10-12 07:00:00,ACB,742105.0
2016-10-19 07:00:00,ACB,894546.0
2016-10-24 07:00:00,ACB,435877.0
2016-11-09 07:00:00,ACB,510554.0
2016-12-21 07:00:00,ACB,939567.0
2017-01-03 07:00:00,ACB,1609757.0
2017-01-04 07:00:00,ACB,739000.0
2017-01-05 07:00:00,ACB,471881.0
2017-01-06 07:00:00,ACB,1409824.0
2017-01-09 07:00:00,ACB,970791.0
2017-01-10 07:00:00,ACB,942499.0
2017-01-11 07:00:00,ACB,1447461.0
2017-01-12 07:00:00,ACB,1158392.0
2017-01-13 07:00:00,ACB,1230784.0
2017-01-16 07:00:00,ACB,575469.0
2017-01-17 07:00:00,ACB,1398174.0
2017-01-18 07:00:00,ACB,1360520.0
2017-01-19 07:00:00,ACB,542576.0
2017-01-20 07:00:00,ACB,614473.0
2017-01-23 07:00:00,ACB,867359.0
2017-01-24 07:00:00,ACB,722901.0
2017-01-25 07:00:00,ACB,437171.0
2017-02-02 07:00:00,ACB,693910.0
2017-02-03 07:00:00,ACB,1124649.0
2017-02-06 07:00:00,ACB,1767267.0
2017-02-07 07:00:00,ACB,820988.0
2017-02-08 07:00:00,ACB,627023.0
2017-02-09 07:00:00,ACB,480866.0
2017-02-10 07:00:00,ACB,2354611.0
2017-02-13 07:00:00,ACB,1102014.0
2017-02-14 07:00:00,ACB,630201.0
2017-02-15 07:00:00,ACB,37819100.0
2017-02-16 07:00:00,ACB,1657991.0
2017-02-17 07:00:00,ACB,886909.0
2017-02-20 07:00:00,ACB,1208009.0
2017-02-21 07:00:00,ACB,992334.0
2017-02-22 07:00:00,ACB,890701.0
2017-02-23 07:00:00,ACB,599354.0
2017-02-24 07:00:00,ACB,2041146.0
2017-02-27 07:00:00,ACB,652055.0
2017-02-28 07:00:00,ACB,493768.0
2017-03-01 07:00:00,ACB,947826.0
2017-03-03 07:00:00,ACB,658085.0
2017-03-06 07:00:00,ACB,767074.0
2017-03-08 07:00:00,ACB,3300268.0
2017-03-09 07:00:00,ACB,2499511.0
2017-03-10 07:00:00,ACB,3996520.0
2017-03-13 07:00:00,ACB,3149747.0
2017-03-14 07:00:00,ACB,1043292.0
2017-03-15 07:00:00,ACB,1841218.0
2017-03-16 07:00:00,ACB,1849057.0
2017-03-17 07:00:00,ACB,5329369.0
2017-03-20 07:00:00,ACB,5125254.0
2017-03-21 07:00:00,ACB,10618307.0
2017-03-22 07:00:00,ACB,4597625.0
2017-03-23 07:00:00,ACB,3086794.0
2017-03-24 07:00:00,ACB,7262960.0
2017-03-27 07:00:00,ACB,4647682.0
2017-03-28 07:00:00,ACB,3883267.0
2017-03-29 07:00:00,ACB,4693967.0
2017-03-30 07:00:00,ACB,2636139.0
2017-03-31 07:00:00,ACB,2374460.0
2017-04-03 07:00:00,ACB,4561999.0
2017-04-04 07:00:00,ACB,4282474.0
2017-04-05 07:00:00,ACB,2922560.0
2017-04-07 07:00:00,ACB,2654414.0
2017-04-10 07:00:00,ACB,4172644.0
2017-04-11 07:00:00,ACB,3447528.0
2017-04-12 07:00:00,ACB,4187963.0
2017-04-13 07:00:00,ACB,1942706.0
2017-04-14 07:00:00,ACB,2869490.0
2017-04-17 07:00:00,ACB,1791452.0
2017-04-18 07:00:00,ACB,1966220.0
2017-04-19 07:00:00,ACB,904604.0
2017-04-20 07:00:00,ACB,1029547.0
2017-04-21 07:00:00,ACB,1166146.0
2017-04-24 07:00:00,ACB,1041557.0
2017-04-25 07:00:00,ACB,1796943.0
2017-04-26 07:00:00,ACB,1183165.0
2017-04-27 07:00:00,ACB,867590.0
2017-04-28 07:00:00,ACB,3189572.0
2017-05-03 07:00:00,ACB,2622355.0
2017-05-04 07:00:00,ACB,1511935.0
2017-05-05 07:00:00,ACB,1540483.0
2017-05-08 07:00:00,ACB,1334252.0
2017-05-09 07:00:00,ACB,1873308.0
2017-05-10 07:00:00,ACB,1722684.0
2017-05-11 07:00:00,ACB,1225352.0
2017-05-12 07:00:00,ACB,1408743.0
2017-05-15 07:00:00,ACB,1557823.0
