trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_predicted_return,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2024-10-24,"CTR,EVG,IDI,MSB,CRE,VPH,DSC,VHM,ASM,POW",10,-0.01899680052126148,0.004944554635679833,0.024825103358153865,0.004,-0.02299680052126148,-0.018996800521261514,-0.022996800521261518,0.0049445546356798875
2024-10-25,"CTR,TNS,IDI,EVG,HCD,HAG,POW,TTN,MSB,CRE",10,-0.01280729461974155,-0.0029060473958891536,0.028179332853310046,0.004,-0.01680729461974155,-0.03156079751989471,-0.039417581139330804,0.0020241381296679517
2024-10-28,"CTR,VHM,HCD,CRE,MSB,IDI,SAM,VPH,ASM,TVN",10,-0.027629967611965334,-0.01244129539627301,0.023118413382882806,0.004,-0.031629967611965334,-0.058318741318577616,-0.06980077193651713,-0.010442340166999187
2024-10-29,"CTR,EVG,BMS,HAG,PSB,IDI,VPH,MSB,HPX,HIO",10,-0.0381071608385259,-0.01719986930380415,0.02120191973851071,0.004,-0.042107160838525906,-0.09420354050177615,-0.10896882044445888,-0.02746260258470501
2024-10-30,"CTR,AFX,EVG,SAM,HCD,HPX,TVN,POW,PSB,IDI",10,-0.0189220843584998,-0.002096790877512839,0.025344212393269894,0.004,-0.0229220843584998,-0.11134309752003202,-0.12939311230828465,-0.02950181012764541
2024-10-31,"CTR,TMT,EVG,TVN,SAM,IDI,PSB,VPH,NVL,HPX",10,0.011192835636226584,0.003752738739107785,0.02603176084529222,0.004,0.007192835636226583,-0.1013965068735756,-0.12313098006135137,-0.02585978397427735
2024-11-01,"CTR,EVS,EVG,IDI,SAM,MSN,POW,TVN,HPX,PSB",10,-0.00466824687980234,0.0023184096607694496,0.027912666756046024,0.004,-0.00866824687980234,-0.10559140982654258,-0.13073189720742995,-0.02360132788649938
2024-11-04,"CTR,EVG,TVN,HPX,NVL,VPH,PCH,IDI,POW,MSB",10,0.010552588492003379,0.01693335462828262,0.028503651395110286,0.004,0.006552588492003379,-0.09615308403072909,-0.12503594104060567,-0.007067622913017213
2024-11-05,"CTR,EVG,TVN,CSM,IDI,SAM,FCN,VPH,POW,IJC",10,0.03170202279227184,0.01782765152752359,0.025181046243081394,0.004,0.02770202279227184,-0.06749930849994679,-0.10079766673689394,0.010634029496085162
2024-11-06,"CTR,EVG,SAM,HCD,PSB,VPH,TVN,ASM,MSB",9,0.009355105370516956,0.0041218238406121556,0.021283531726767127,0.004,0.005355105370516956,-0.058775666272883886,-0.09598234349285528,0.014799684932996104
2024-11-07,"CTR,EVG,DGW,S99,CRE,MSB,VHC,SAM,HPX,HT1",10,-0.020899680004823874,-0.008802834216387126,0.021043659269148706,0.004,-0.024899680004823874,-0.07844695366053422,-0.11849209385859394,0.00586657154368897
2024-11-08,"CTR,VHM,PSB,EVG,VPH,SAM,CRE,DGW,HAG,NHH",10,-0.007514355434921749,-0.02264903155069842,0.021719043047752518,0.004,-0.011514355434921748,-0.08537183080286392,-0.12864208920859976,-0.016915332170996944
2024-11-11,"CTR,DGW,EVG,PSB,CRE,STB,VPH,SAM,BVS,NAG",10,-0.03078202718643851,-0.02682858027403797,0.022827435202306456,0.004,-0.03478202718643851,-0.11352593997257265,-0.1589496837508645,-0.04329009809802331
2024-11-12,"CTR,EVG,VHM,PSB,IMP,BVS,VPH,SAM,IDI,TDC",10,-0.042071782275135174,-0.03641856149136222,0.023208127965099367,0.004,-0.04607178227513517,-0.1508214836186017,-0.19769837080352826,-0.07813209648983555
2024-11-13,"CTR,EVS,VHM,EVG,IDI,TVN,VPH,S99,SAM,SHS",10,-0.039969340998395685,-0.0305595886367672,0.017639002241905732,0.004,-0.04396934099839568,-0.18476258930836154,-0.2329750447212363,-0.10630400039854515
2024-11-14,"CTR,EVG,VHM,VPH,PSB,POW,SAM,TVN,TRC,VDS",10,-0.019298179500290846,-0.009387134918042165,0.020023148001183967,0.004,-0.023298179500290846,-0.20049518719524118,-0.25084532981052354,-0.11469324532251857
2024-11-15,"CTR,VIG,HBS,EVS,VHM,IDI,PSB,ITD,CRE,EVG",10,-0.014639980552582588,0.0007657998299858671,0.029417835899485878,0.004,-0.018639980552582588,-0.21219992210639893,-0.26480955829373176,-0.11401527756030116
2024-11-18,"CTR,ANT,PSB,VIG,EVG,SAM,VPH,TVN,IDI,ASM",10,-0.00987591302816222,0.007676466776829583,0.02907602816507009,0.004,-0.01387591302816222,-0.2199801671592556,-0.27501099692198416,-0.10721404527371414
2024-11-19,"CTR,PSB,EVG,IDI,SAM,TVN,ASM,VOS,SHS,ANV",10,0.03144177808060268,0.02845003025877379,0.03678201568684716,0.004,0.02744177808060268,-0.19545495667660817,-0.2551160095886399,-0.08181425784714302
2024-11-20,"CTR,EVS,S99,PSB,SAM,TVN,EVG,IDI,ASM,TCI",10,0.009451511874900865,0.017764732858566633,0.028461305522138124,0.004,0.0054515118749008645,-0.18785078964574453,-0.2510552656694889,-0.06550293342325275
2024-11-21,"CTR,S99,SAM,PSB,IDI,TVN,ASM,EVG,OIL,MSB",10,0.017040602685659212,0.014296276957684102,0.027279232186281678,0.004,0.013040602685659212,-0.17401127763062574,-0.241288574955568,-0.052143104543328156
2024-11-22,"CTR,VIG,VHC,S99,PSB,EVG,SAM,MSB,IDI,OIL",10,0.026746416424835218,0.02278074764134239,0.03137738862800352,0.004,0.022746416424835218,-0.1519190392999169,-0.2240306089352272,-0.030550215807823466
2024-11-25,"CTR,EVS,SAM,EVG,S99,DGW,PSB,TVN,IDI,MSB",10,0.019124297586237925,0.01517448649065406,0.029457918897648906,0.004,0.015124297586237925,-0.1357000866302659,-0.21229461694695162,-0.015839313154231816
2024-11-26,"CTR,VIG,SAM,PSB,VHC,DGW,TDT,OIL,APG,TVN",10,0.020584312690542637,0.009722463605448298,0.03128708205354243,0.004,0.016584312690542637,-0.11790906695505432,-0.19923106456637618,-0.006270846694460874
2024-11-27,"CTR,PSB,SAM,VBB,AVG,VHC,MSB,ASM,S99,IDI",10,0.004838309271165598,0.004623104550496346,0.0310023344896025,0.004,0.0008383092711655975,-0.11364123821569172,-0.1985597725437407,-0.0016767329238531747
2024-11-28,"CTR,VHC,PSB,IDI,SAM,ASM,S99,NVL,NAB,VPG",10,0.01758041528542309,0.023828631762446803,0.0283517342564241,0.004,0.01358041528542309,-0.09805868309165022,-0.18767588142844072,0.022111944587187127
2024-11-29,"CTR,SAM,APG,MSB,NAB,GSP,POW,ASM,FCN,VOS",10,0.02051796777833459,0.016522290686505254,0.02436936133265344,0.004,0.01651796777833459,-0.07955268021337591,-0.17425793781231158,0.038999575249805796
2024-12-02,"CTR,ACV,HAG,POW,EVG,S99,MSB,VPG,SHS,TPB",10,0.03423586513730411,0.026203801888453705,0.02549035654825742,0.004,0.03023586513730411,-0.04804036990716809,-0.14929091218180535,0.0662253142818392
